pidp,z,fixedEffect
68034134,.258248,-.035394988297806
68034180,-.2288065,.0012757420976588
68095380,.11766719,-.0140248875896728
68108934,.10394805,-.027670371173309
68156536,1.1114539,.0484504647002848
68184975,.64224893,.0820965575690451
68209459,1.5663686,.0441064658291857
68223735,-.81457365,-.0277294701090365
68245002,.40801468,.0190289315877549
68270675,-.83825862,-.0169287180539851
68338655,1.4550778,.0447424828540818
68364495,.76937842,.0722079721423845
68367416,-.27902675,-.0141120850785935
68367416,-.09072274,-.0141120850785935
68367903,.15632828,-.0809632022408479
68378119,.65720385,-.0407727174774235
68388295,.59308618,.0021212660777519
68401336,-.43757856,.0183276889859544
68408162,.51239884,-.0707577647854725
68415008,.055675916,-.012689222807038
68449006,.92166662,-.0017273806128611
68496568,.2216797,.0680993830890483
68523782,.27587453,.0035428089932468
68569175,.42762879,.0667125222937777
68632522,.15933484,.0949847888445033
68666604,-.26533592,.0719730859863241
68690899,.45619699,.0461886656358009
68714134,.45038128,.0574579812590822
68748172,-.56338573,-.0423548761882856
68836568,.46783945,.0857031354884103
68895579,.64815891,-.0108301188404595
68898410,-.24297704,-.0077932463524723
68928219,.97140461,.1036572183900383
68938534,1.6763039,.0273009906242514
68963579,.80929643,.0328105590136166
68979326,-.37483388,.036581341576538
68986168,.6443783,.0637466834776153
68999812,.28995493,-.0253325870847694
69030215,.32922485,-.0344135374817864
69040602,.13740937,.0485523997664771
69082575,1.3391137,.0317845945826358
69101619,.40815482,.0074741379495075
69122162,.44063362,-.1771701909319647
69143178,-.2700468,.0069461044193965
69156126,1.1356463,.0860172309716753
69220615,-.27378714,-.1136452672623724
69244522,1.4191526,.254120452501828
69244580,.32279795,.0112258582412592
69251322,.79515827,.0629789552640145
69258166,-.44823995,-.0211836692335326
69264942,-.51850212,-.0437054865882724
69264966,.15294278,-.0024239792152948
69275695,1.0888509,.0676093108168534
69292180,-.55275273,-.0696188794219665
69305764,1.2745539,.2632496358786127
69345059,1.0563425,.0533213365312659
69394035,-.68738216,-.0087137289359261
69394176,.12407081,-.0727834290822036
69407820,-.079148076,-.0071579814437361
69421376,.27168745,-.0779556340181748
69448522,.34736827,.0169943298949931
69448562,.34736827,.0169943298949931
69451139,-1.5309892,-.0884812373210675
69489334,.10517812,.0037197020258617
69489368,.40442342,.0410039855628549
69509780,.57866222,.0220645841672139
69557332,1.5119621,-.0913912079732535
69591362,.14233001,.0368159132928972
69639214,-.54420251,.0026300242012533
69666136,.86474073,.1123925238974668
69700126,.067497201,-.2381536254468935
69700126,-.20607609,-.2381536254468935
69720572,.70211232,-.0427691943980619
69842964,-.53825587,.0250913764043643
69843058,.31006518,-.0237346266735848
69849732,.080695972,.0169959604891335
69951726,.29948053,.0079462127823056
69999328,.47976494,.0797397933106448
70033422,.19849274,.017019718054263
70141331,.32763827,.0097678278167116
70148972,.28970787,.0058336895730924
70176204,-.16909356,-.0303821595673856
70196580,.49034244,.04850300320757
70244164,.54074538,.083691990399086
70278128,.28902808,.0192005774894017
70325738,.63216197,.0463237693572838
70339418,-.082450047,.0157048822251012
70373982,.29361206,.0013461111901543
70495802,-.064790003,-.0197712122421935
70584140,1.1223401,.00161882003149
70611332,1.0635349,.0137952527465226
70760976,.092457831,.0122791528216474
70794974,-.67857903,-.0980975362515781
70856208,-.067605056,-.0231477745135158
70937782,.1014307,-.0288250676868099
70992182,.067919686,-.002261266619329
70999048,.17790417,-.0175031697321405
71046530,.49712428,-.0353101284298542
71114532,.38115525,.0100569550669241
71121328,.65888822,-.0406961270608279
71128176,.58881766,.0077458681601121
71196162,.31964758,.0128668636575562
71305046,.31360593,-.0165793870269041
71339018,-.20578633,-.0456563284289997
71468174,.0042326869,.0378363882976593
71468174,.47353142,.0378363882976593
71542962,-2.17712,-.0566522841987226
71583762,.085606821,.0400447384388819
71597368,.42437801,.0066605058647372
71672090,.73390269,-.0058874325844625
71923728,.77870613,.0498327178799572
72012134,.35720402,-.1289015991992926
72032574,.11681035,.0025092493880538
72066534,.4077912,-.0076201338343316
72066578,.10918617,.0055913441617099
72073378,.65410781,.0258478803282157
72161722,-.26563171,-.0489729885978724
72161770,-.24938098,-.0686410551045648
72168568,.81554693,.0062373106653459
72182182,.18514974,.0039059786943866
72216130,1.1078973,.0077166314118104
72331736,.87087703,.0368660432979365
72447418,-.26879296,-.0581598978315536
72488848,.36733186,-.0596514080719445
72556180,.38644224,.0828682476163131
72576656,.25762275,-.1007336882946845
72624166,1.0127116,.0160667684080633
72692172,.3077414,-.0211025904843765
72787340,.84596133,.0164744038673012
72787406,.69508982,-.0230033842513325
72807738,.84811544,-.0019725426459678
72862202,.55210161,.0799577703208946
72882578,1.1542434,.0360365388753141
72977724,.92891347,.0333657878575632
73011722,-.13627046,-.0125890297134019
73011770,.096638657,-.0021619091723698
73011816,-.22202286,-.0043361276177938
73018620,-.22463447,-.0181185089225522
73018620,.015387629,-.0181185089225522
73045732,.76096439,-.0043447514534656
73045778,.23157768,-.0429690393092348
73086534,-1.2285484,-.0742981831151787
73113730,.23629504,-.0160258413929751
73168136,.50024265,.1280200213096466
73202252,-.20427719,-.0923902181093064
73283738,.73300439,.0133947767347316
73297368,-.0049980218,-.0083274656369342
73331372,.15659688,-.2648320972335488
73365330,-.11019104,.0068951016372539
73427932,-.51719964,-.1087669827238284
73467412,.0058339876,-.0744897572012013
73542122,.21155395,.021304410034871
73542162,.21155395,.021304410034871
73691770,.0029468543,.0326790769595761
73698608,-.40877253,-.0386817048900028
73698724,-.21562287,-.0008864516331851
73759764,-.34823358,-.002746007324633
73786972,.081760384,-.0414445619830608
73793732,.45488578,-.0110150826042808
73841368,.53962106,.067532978285086
73841408,.53619105,.0614637302389731
73963814,-.50234807,-.0260512836164109
73984364,.1316523,-.0878451143004495
73997928,-.076761566,-.0827435380075105
74065782,-.21962978,-.0024953782013582
74079332,-.043598156,-.0313841160081902
74086322,-.010643186,-.0453562569983213
74092964,.42616388,.0116418799280715
74133762,-.63675672,-.0162329462903419
74140572,.29968545,.0611664824070102
74140604,.45802766,.017807471628732
74167804,.3593089,-.0156352118350718
74229688,-.14534025,-.0491848169609237
74249382,-.046598177,.0123457009283975
74276570,-.9070521,-.0578873239103026
74337778,-.083943702,.0074864131586443
74398938,1.2228978,.0449487324078633
74439900,.29652101,.001204589066614
74460172,-.21821699,-.0280615317387074
